,是否印標,印標人員,Tracking ID,尾碼,SKU ID,Counting Qty,Unnamed: 6,Tracking ID.1,Gruop ID,Status,Sku ID,Sku Name,Countign Qty,Supplier ID,Supplier Name,Unnamed: 15,領標時間,DATE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,V,103001.0,TTWK000529031,41,11625900341_94169601809,30.0,11625900341,TTWK000529031,GINTWK0002203280034,Counted,11625900341_94169601809,福來朗 除螞蟻膏(80g) 蝦皮直送 現貨:80g/瓶,30.0,正常,30.0,NO,sp2948@shopee.com,2022-03-28 09:29:48,818972,TW_澄朗興業有限公司(Consignment),詳情質檢,,
1,V,103001.0,TTWK000529020,70,11825981170_101419062960,15.0,11825981170,TTWK000529020,GINTWK0002203280016,Counted,11825981170_101419062960,77Milano蜜蘭諾經典系列-千層鬆塔/醇黑鬆塔/楓糖葡萄鬆塔/黑巧酥/杏仁鬆塔 現貨 蝦皮直送 (部分即期):黑巧酥(16入),15.0,正常,15.0,NO,sp1344@shopee.com,2022-03-28 09:28:40,744946,TW_宏亞食品股份有限公司(Consignment),詳情質檢,詳情質檢,
2,V,103001.0,TTWK000529024,86,11525900686_101416724475,24.0,11525900686,TTWK000529024,GINTWK0002203280022,Counted,11525900686_101416724475,福來朗 水性除蟲噴霧(500ml) 蝦皮直送 現貨:500ml/瓶,24.0,正常,24.0,NO,sp99007@shopee.com,2022-03-28 09:27:37,818972,TW_澄朗興業有限公司(Consignment),詳情質檢,詳情質檢,
3,V,103001.0,TTWK000529028,00,11525900700_94169601808,3.0,11525900700,TTWK000529028,GINTWK0002203280029,Counted,11525900700_94169601808,福來朗 蟑螂餌站(16入) 蝦皮直送 現貨:16入/盒,3.0,正常,3.0,NO,sp2311@shopee.com,2022-03-28 09:26:31,818972,TW_澄朗興業有限公司(Consignment),詳情質檢,詳情質檢,
4,V,103001.0,TTWK000529029,00,11525900700_94169601808,21.0,11525900700,TTWK000529029,GINTWK0002203280029,Counted,11525900700_94169601808,福來朗 蟑螂餌站(16入) 蝦皮直送 現貨:16入/盒,21.0,正常,21.0,NO,sp2311@shopee.com,2022-03-28 09:26:01,818972,TW_澄朗興業有限公司(Consignment),詳情質檢,詳情質檢,
5,V,103001.0,TTWK000492832,34,13536055234_131623304319,60.0,13536055234,TTWK000492832,GINTWK0002203280017,Counted,13536055234_131623304319,77 屏東可可雙堅果乳加 178g/包 現貨 蝦皮直送:178g/包,60.0,正常,60.0,NO,sp1344@shopee.com,2022-03-28 09:25:05,744946,TW_宏亞食品股份有限公司(Consignment),詳情質檢,詳情質檢,
6,V,103001.0,TTWK000529023,84,11525900684_94169601751,24.0,11525900684,TTWK000529023,GINTWK0002203280023,Counted,11525900684_94169601751,福來朗 水性除蟲噴霧-補充瓶(500ml) 蝦皮直送 現貨:500ml/瓶,24.0,正常,24.0,NO,sp99007@shopee.com,2022-03-28 09:24:37,818972,TW_澄朗興業有限公司(Consignment),詳情質檢,詳情質檢,
7,V,103001.0,TTWK000522042,35,11325896535_84169601786,20.0,11325896535,TTWK000522042,GINTWK0002203280028,Counted,11325896535_84169601786,澄朗 掃毒祭-消毒液 殺菌劑(1公升) 蝦皮直送 現貨:1公升/瓶,20.0,正常,20.0,NO,sp2311@shopee.com,2022-03-28 09:23:33,818972,TW_澄朗興業有限公司(Consignment),詳情質檢,詳情質檢,
8,V,103001.0,TTWK000529022,95,11525900695_94169601803,48.0,11525900695,TTWK000529022,GINTWK0002203280024,Counted,11525900695_94169601803,福來朗 白蟻噴霧-補充瓶(500ml) 蝦皮直送 現貨:500ml/瓶,48.0,正常,48.0,NO,sp99007@shopee.com,2022-03-28 09:22:53,818972,TW_澄朗興業有限公司(Consignment),詳情質檢,詳情質檢,
9,V,103001.0,TTWK000492831,97,11325946397_111418113793,36.0,11325946397,TTWK000492831,GINTWK0002203280021,Counted,11325946397_111418113793,美味大師 大蒜麵包醬(470g) 麵包抹醬 濃郁香蒜 現貨 蝦皮直送:大蒜麵包醬470g,36.0,正常,36.0,NO,sp2771@shopee.com,2022-03-28 09:20:21,746374,TW_美味大師股份有限公司(Consignment),詳情質檢,詳情質檢,
