,是否印標,印標人員,Tracking ID,尾碼,SKU ID,Counting Qty,Unnamed: 6,Tracking ID.1,Gruop ID,Status,Sku ID,Sku Name,Countign Qty,Supplier ID,Supplier Name,Unnamed: 15,領標時間,DATE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,V,42525,TTWK000516887,07,11525896207_150849428899,24.0,11525896207,TTWK000516887,GINTWK0002203070042,Counted,11525896207_150849428899,元寶牌 歐洲香氛清潔袋 台灣製 強化封底 可分解 環保垃圾袋 特小/小/中/大 蝦皮直送 現貨:C. 環保包-檸檬香-中(216張),24.0,正常,24.0,NO,sp1409@shopee.com,2022-03-07 08:38:46,1389086.0,TW_華永生物科技股份有限公司(Consignment),詳情質檢,,
1,V,42525,TTWK000520910,07,11525896207_150849428901,10.0,11525896207,TTWK000520910,GINTWK0002203070022,Counting,11525896207_150849428901,元寶牌 歐洲香氛清潔袋 台灣製 強化封底 可分解 環保垃圾袋 特小/小/中/大 蝦皮直送 現貨:D. 環保包-野薑花香-特小(420張),10.0,正常,0.0,NO,sp0880@shopee.com,2022-03-07 08:37:17,1389086.0,TW_華永生物科技股份有限公司(Consignment),詳情計數,詳情計數,
2,V,42525,TTWK000516885,18,10725980618_56923828680,24.0,10725980618,TTWK000516885,GINTWK0002203070014,Counted,10725980618_56923828680,加拿大 JOE 楓糖漿250g 現貨 蝦皮直送,24.0,正常,24.0,NO,sp99075@shopee.com,2022-03-07 08:35:47,706563.0,TW_駿伸企業有限公司(Consignment),詳情質檢,詳情質檢,
4,V,42525,TTWK000516883,07,11525896207_104449860355,53.0,11525896207,TTWK000516883,GINTWK0002203070026,Counted,11525896207_104449860355,元寶牌 歐洲香氛清潔袋 台灣製 強化封底 可分解 環保垃圾袋 特小/小/中/大 蝦皮直送 現貨:A. 環保包-小蒼蘭香-中(216張),53.0,正常,53.0,NO,sp2907@shopee.com,2022-03-07 08:46:14,1389086.0,TW_華永生物科技股份有限公司(Consignment),詳情質檢,,
6,V,42525,TTWK000520911,07,11525896207_150849428906,10.0,11525896207,TTWK000520911,GINTWK0002203070023,Counting,11525896207_150849428906,元寶牌 歐洲香氛清潔袋 台灣製 強化封底 可分解 環保垃圾袋 特小/小/中/大 蝦皮直送 現貨:E. 環保包-香茅草本-小(300張),10.0,正常,0.0,NO,sp0880@shopee.com,2022-03-07 08:45:24,1389086.0,TW_華永生物科技股份有限公司(Consignment),詳情計數,詳情計數,
7,V,42525,TTWK000520921,07,11525896207_150849428903,16.0,11525896207,TTWK000520921,GINTWK0002203070043,Counted,11525896207_150849428903,元寶牌 歐洲香氛清潔袋 台灣製 強化封底 可分解 環保垃圾袋 特小/小/中/大 蝦皮直送 現貨:D. 環保包-野薑花香-中(216張),16.0,正常,16.0,NO,sp1409@shopee.com,2022-03-07 08:44:03,1389086.0,TW_華永生物科技股份有限公司(Consignment),詳情質檢,詳情質檢,
8,V,42525,TTWK000520909,07,11525896207_150849428902,25.0,11525896207,TTWK000520909,GINTWK0002203070021,Counted,11525896207_150849428902,元寶牌 歐洲香氛清潔袋 台灣製 強化封底 可分解 環保垃圾袋 特小/小/中/大 蝦皮直送 現貨:D. 環保包-野薑花香-小(300張),25.0,正常,25.0,NO,sp0880@shopee.com,2022-03-07 08:43:55,1389086.0,TW_華永生物科技股份有限公司(Consignment),詳情質檢,詳情質檢,
9,V,42525,TTWK000516884,83,8389152783_94140956125,18.0,8389152783,TTWK000516884,GINTWK0002203070012,Counted,8389152783_94140956125,FILUX 飛力士 伸縮把手直條狀碎紙機 F606S [原廠] 現貨 蝦皮直送:F-606S,18.0,正常,18.0,NO,sp99081@shopee.com,2022-03-07 08:43:13,749516.0,TW_世慶實業股份有限公司(Consignment),詳情質檢,詳情質檢,
10,V,42525,TTWK000520922,55,10825896755_46923056956,62.0,10825896755,TTWK000520922,GINTWK0002203070045,Counting,10825896755_46923056956,日本Aohata 無蔗糖果醬(255g) 草莓/藍莓/白桃/蘋果 日本市佔第一品牌 蝦皮直送 現貨:草莓 255g,62.0,正常,0.0,NO,sp99054@shopee.com,2022-03-07 08:48:52,706563.0,TW_駿伸企業有限公司(Consignment),詳情計數,,
11,V,42525,TTWK000470051,55,11125900555_36923076992,48.0,11125900555,TTWK000470051,GINTWK0002203070017,Counted,11125900555_36923076992,日本Aohata 無蔗糖果醬(125g) 草莓/藍莓/白桃/蘋果/柑橘 日本市佔第一品牌 蝦皮直送 現貨:白桃(無蔗糖)125g,48.0,正常,48.0,NO,sp99075@shopee.com,2022-03-07 08:48:39,706563.0,TW_駿伸企業有限公司(Consignment),詳情質檢,詳情質檢,
12,V,42525,TTWK000520923,55,10825896755_46923056956,10.0,10825896755,TTWK000520923,GINTWK0002203070045,Counted,10825896755_46923056956,日本Aohata 無蔗糖果醬(255g) 草莓/藍莓/白桃/蘋果 日本市佔第一品牌 蝦皮直送 現貨:草莓 255g,10.0,正常,10.0,NO,sp99054@shopee.com,2022-03-07 08:48:15,706563.0,TW_駿伸企業有限公司(Consignment),詳情質檢,詳情質檢,
13,V,42525,TTWK000520912,07,11525896207_104449860360,16.0,11525896207,TTWK000520912,GINTWK0002203070024,Counted,11525896207_104449860360,元寶牌 歐洲香氛清潔袋 台灣製 強化封底 可分解 環保垃圾袋 特小/小/中/大 蝦皮直送 現貨:B. 環保包-薰衣草香-大(156張),16.0,正常,16.0,NO,sp0880@shopee.com,2022-03-07 08:55:51,1389086.0,TW_華永生物科技股份有限公司(Consignment),詳情質檢,,
